Kode kerusakan,Kerusakan,Kode gejala,Gejala
K001,"""Overheat""",G101,"""Overheat pada mesin"""
K001,"""Overheat""",G102,"""Warna asap putih"""
K001,"""Overheat""",G103,"""Bunyi mesin aneh"""
K002,"""Knocking sound""",G201,"""Bunyi knocking"""
K002,"""Knocking sound""",G202,"""Turunnya performa mesin"""
K002,"""Knocking sound""",G203,"""Getaran abnormal"""
K003,"""Oil leakage""",G301,"""Bercak oli di bawah motor"""
K003,"""Oil leakage""",G302,"""Pengurangan level oli"""
K003,"""Oil leakage""",G303,"""Oli bocor dari blok mesin"""
K004,"""Battery failure""",G401,"""Mesin tidak dapat dinyalakan"""
K004,"""Battery failure""",G402,"""Kondisi aki melemah"""
K004,"""Battery failure""",G403,"""Lampu indikator baterai menyala"""
K005,"""Starting issues""",G501,"""Mesin sulit dihidupkan"""
K005,"""Starting issues""",G502,"""Starter motor berbunyi aneh"""
K005,"""Starting issues""",G503,"""Mesin mati mendadak"""
K006,"""Excessive vibration""",G601,"""Getaran kuat pada mesin"""
K006,"""Excessive vibration""",G602,"""Getaran pada kemudi"""
K006,"""Excessive vibration""",G603,"""Suara berisik saat berkendara"""
K007,"""Smoke from exhaust""",G701,"""Warna asap hitam"""
K007,"""Smoke from exhaust""",G702,"""Bau asap yang tidak biasa"""
K007,"""Smoke from exhaust""",G703,"""Mesin tidak berdaya"""
K008,"""Braking issues""",G801,"""Bunyi berdecit saat mengerem"""
K008,"""Braking issues""",G802,"""Rem terasa licin"""
K008,"""Braking issues""",G803,"""Percepatan berkurang saat mengerem"""
K009,"""Transmission problems""",G901,"""Gesekan saat perpindahan gigi"""
K009,"""Transmission problems""",G902,"""Kesulitan memindahkan tuas gigi"""
K009,"""Transmission problems""",G903,"""Bunyi aneh dari transmisi"""